insect_order;insect_family;insect_species;species_authors;species_authors_galls;sampling_year;host_plant_adjusted_scientific_name;host_plant_paper_original_scientific_name;host_plant_family;site_states;site_municipality;study_location;vegetation_type;complete_references;additional_references
Diptera;Cecidomyiidae;Neolasioptera cerei (Rübsaamen, 1905);Rübsaamen, 1905;Maia;"1998; 2002-2003";Hylocereus setaceus (Salm-Dyck) R. Bauer ; Selenicereus setaceus (Salm-Dyck) Berg ;Cactaceae;"Rio de Janeiro; Espírito Santo";Angra dos Reis, Arraial do Cabo, Cabo Frio, Carapebus, Mangaratiba, Maricá, São João da Barra;;Atlantic Forest, Amazon Forest, Caatinga, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1200";Maia, V.C., Magenta, M.A.G. and Martins, S.E. 2008. Ocorrência e caracterização de galhas de insetos em áreas de restinga de Bertioga (São Paulo, Brasil). Biota Neotrop. 8(1):167-197. 
Diptera;Cecidomyiidae;Clinodiplosis iheringi Tavares, 1925;Tavares, 1925;H von Ihering;NA;Aegiphila integrifolia (Jacq.) Moldenke;Aegiphila integrifolia (Jacq.) Moldenke;Verbenaceae;Santa Catarina;Joinvile;Hansa Humboldt;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1111";Tavares, J.S. 1925. Nova contribuição para o conhecimento da cecidologia brazileira. Brotéria, Ser. Zool. 22:5-48.
Diptera;Cecidomyiidae;Lopesia indaiensis Maia & Araújo, 2018;Maia & Araújo, 2018;NA;NA;Andira fraxinifolia Benth;Andira fraxinifolia Benth;Fabaceae;"Pernambuco; Rio de Janeiro; São Paulo";"Tamandaré; Mangaratiba; Bertioga";;Atlantic Forest, Caatinga, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1176";Maia, V.C. & L. Araújo de Oliveira. 2018. Lopesia indaiensis (Diptera, Cecidomyiidae), a new species of gall midge feeding on Andira fraxinifolia Benth. (Fabaceae), an endemic plant in Brazil. Revista Brasileira de Entomologia 62: 125–130.
Diptera;Cecidomyiidae;Andirodiplosis bahiensis Tavares, 1920;Tavares, 1920;Tavares;1912;Andira sp.;Andira sp.;Fabaceae;Bahia;Salvador;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1047";"Tavares, J.S. 1920d. Cecidologia brazileira: cecídias que se criam em plantas das famílias das Leguminosae, Sapotaceae, Lauraceae, Myrtaceae, Punicaceae, Aurantiaceae, Malpighiaceae, Sapindaceae, Umbelliferae, Loranthaceae, Apocynaceae, Urticaceae,
Salicaceae e Gramineae. Brotéria, Série Zoológica 18 (2): 82–96."
Diptera;Cecidomyiidae;Arrabiadaeamyia serrata Maia, 2001;Maia, 2001;"Maia; Carvalho-Fernandes et al, Maia & Silva";"1998; 2011-2012";Fridericia conjugata (Vell.) L. G. Lohmann;Arrabidaea conjugata Mart.;Bignoniaceae;Rio de Janeiro;Mangaratiba, Reserva Biológica União, Maricá, Araruama, Arraial do Cabo, São João da Barra, Grumari;;Atlantic Forest, Amazon Forest, Cerrado, Pampa;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1050";Carvalho-Fernandes, S.P., Ascendino, S., Maia, V.C. & Couri, M.S. 2016. Diversity of insect galls associated with coastal shrub vegetation in Rio de Janeiro, Brazil. An. Acad. Bras. Cienc. 88(3):1407-1418.
Diptera;Cecidomyiidae;Clinodiplosis bahiensis (Tavares, 1917);Tavares, 1917;Tavares;1912;Asteraceae sp.;Asteraceae sp.;Asteraceae;Bahia;Salvador, Roça da Madre de Deus;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1102";Tavares, J.S. 1917. Cecídias do brazileiras que se criam em planta das Compositae, Rubiaceae, Tiliaceae, Lythraceae e Artocarpaceae. Brotéria, Ser. Zool. 15:113-181, pls. VI-XI.
Diptera;Cecidomyiidae;Clinodiplosis cearensis (Tavares, 1917);Tavares, 1917;Dias Rocha;1912;Asteraceae sp.;Asteraceae sp.;Asteraceae;Ceará;Fortaleza;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1104";Tavares, J.S. 1917. Cecídias do brazileiras que se criam em planta das Compositae, Rubiaceae, Tiliaceae, Lythraceae e Artocarpaceae. Brotéria, Ser. Zool. 15:113-181, pls. VI-XI.
Diptera;Cecidomyiidae;Baccharomyia ramosina Tavares, 1917;Tavares, 1917;Tavares ;1911;Baccharis crispa Spreng.;Baccharis crispa Spreng.;Asteraceae;Rio de Janeiro;Nova Friburgo;; Atlantic Forest, Caatinga, Cerrado,Pampa;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1074";Tavares, J.S. 1917. Cecídias do brazileiras que se criam em planta das Compositae, Rubiaceae, Tiliaceae, Lythraceae e Artocarpaceae. Brotéria, Ser. Zool. 15:113-181, pls. VI-XI.
Hemiptera;Psyllidae;Neopelma baccharidis Burck.;Tavares, 1917;Julião et al;1994-1995;Baccharis dracunculifolia DC.;Baccharis dracunculifolia DC.;Asteraceae;Minas Gerais;Ipatinga, Belo Oriente, Antonio Dias;Parque Natural do Caraça, Parque Estadual do Rio Doce;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1208";NE
Diptera;Cecidomyiidae;Rhoasphondylia friburgensis (Tavares, 1917);Tavares, 1917;Tavares;1911;Baccharis dracunculifolia DC.;Baccharis dracunculifolia DC.;Asteraceae;Rio de Janeiro;Nova Friburgo;;Atlantic Forest, Cerrado, Pampa;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1228";Tavares, J.S. 1917a. Cecídias do brazileiras que se criam em planta das Compositae, Rubiaceae, Tiliaceae, Lythraceae e Artocarpaceae. Brotéria, Ser. Zool. 15:113-181, pls. VI-XI.
